iteration,point_values,score
0,"[0.8614767789840698, 0.16601133346557617, 0.5045157670974731, 0.5702548623085022, 0.08663521707057953, 0.6007767915725708, 0.8076534867286682, 0.8099789619445801, 0.36914828419685364, 0.37213534116744995, 0.18318113684654236, 0.3528457283973694]",0.0
1,"[0.943912923336029, 0.021079910919070244, 0.6190227270126343, 0.22897525131702423, 0.6335599422454834, 0.970851480960846, -0.02852434664964676, 0.4060490131378174, 0.8031815886497498, 0.9765782952308655, 0.6299332976341248, 0.0879366546869278]",5.897093862295151
1,"[0.34486040472984314, 0.6122809052467346, 0.9998961091041565, 0.8659894466400146, -0.10720998048782349, 0.49134236574172974, 0.995172381401062, 0.4852721691131592, 0.9325977563858032, 0.8326155543327332, 0.6440068483352661, 0.6896804571151733]",5.923163339495659
