iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,4.600757312774658,0.7695314089457194,3.7346644401550293,-10168.373230474563,12
2,6.253194212913513,1.7678130770723026,2.9831933975219727,-13379326378.895096,12
3,5.841430521011352,1.1239073321223259,2.5505735874176025,-5042631785.560635,12
4,6.393061089515686,1.7218039701382317,1.9798452854156494,-476520.05534755276,12
5,5.59428032040596,0.5897371197740237,2.115354061126709,-375052.7608125575,12
6,5.307447856664657,-0.5577126786112786,1.6897087097167969,-369114.4456706147,12
7,5.427819234132767,0.14834912642836576,1.6953701972961426,-80334.20547502574,12
8,6.810930916666985,0.2704305854936442,1.7124855518341064,-74672.53966403547,12
9,5.297186583280563,-0.047496853768825543,1.6859829425811768,-116047.23815963196,12
10,6.4740687847137455,0.7649486164251963,1.7967393398284912,-876792.8115700516,12
11,5.15332282781601,0.9827145839730899,1.7551419734954834,-4527058.580589549,12
12,2.9773633003234865,-1.1292511860529582,1.3128161430358887,-2492974.380620341,12
