iteration,point_values,score
0,"[0.6922281980514526, 0.9545642733573914, 0.08107773959636688, 0.19231048226356506, 0.29610592126846313, 0.5112543106079102, 0.314920574426651, 0.7300529479980469, 0.36327943205833435, 0.2512150704860687, 0.14514882862567902, 0.2620684504508972, 0.5327750444412231, 0.5710030198097229, 0.6375070810317993, 0.7397517561912537, 0.8417980074882507, 0.834147036075592, 0.3377362787723541, 0.8021044731140137, 0.1988004744052887, 0.3857147693634033, 0.7858999967575073, 0.008472072891891003]",-1.0
4,"[0.47405579686164856, 0.8744598031044006, 0.38620591163635254, 0.716447651386261, 0.5307477116584778, 0.6048782467842102, 0.2602720856666565, -0.35573333501815796, 0.7139447927474976, -0.8807225823402405, 0.8174110054969788, 0.7325940728187561, 0.17630842328071594, 0.9978004097938538, 0.9950845837593079, -0.37013140320777893, 0.7614525556564331, 0.2471015751361847, 0.7601017355918884, 0.8588005900382996, 0.9926822185516357, 0.35905933380126953, 0.6924930214881897, 0.6951411366462708]",3.3563109397888184
12,"[0.8793109655380249, -0.04059810936450958, -0.43804657459259033, 0.5936814546585083, 0.7699092626571655, 0.9392663240432739, 0.17427146434783936, -0.0069128344766795635, 0.7820055484771729, -0.7755825519561768, 0.8955667614936829, 0.08847570419311523, -0.8791989684104919, -0.2057334929704666, 0.9805323481559753, -0.09195894002914429, -0.1106034368276596, 0.27603814005851746, 0.06563463062047958, 0.7845232486724854, 0.6844447255134583, -0.3595016896724701, 0.46313005685806274, 0.9891602396965027]",5.220180892944336
