iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,-1.0,-1.625,3.817469358444214,-12122982.18682324,12
2,-1.0,-1.5416666666666667,3.0114595890045166,-18728602.10272544,12
3,-1.0,-1.5,2.608011245727539,-11922689.519728595,12
4,3.3563109397888184,-1.1369740883509318,2.4044952392578125,-18910169.308470603,12
5,0.0,-1.3333333333333333,2.200052261352539,-2684766985.1948314,12
6,-1.0,-1.5416666666666667,1.8012957572937012,-662601864.2723035,12
7,-1.0,-1.2916666666666667,2.1194818019866943,-545918918.5653883,12
8,0.0,-1.4166666666666667,1.821606159210205,-522141945.21968657,12
9,-1.0,-1.6666666666666667,1.8173983097076416,-1315775120.558809,12
10,0.0,-1.4166666666666667,1.8941352367401123,-1280529586.398388,12
11,0.0,-1.2916666666666667,1.8025727272033691,-1108469524.997807,12
12,5.220180892944336,-0.8983182589213053,1.3211228847503662,-48657438.76773318,12
