iteration,point_values,score
0,"[0.5243664383888245, 0.9788526296615601, 0.39834079146385193, 0.8713663220405579, 0.816321611404419, 0.9852936863899231, 0.4983516037464142, 0.5000156760215759]",0.0
1,"[-0.5905312299728394, 0.18118824064731598, 0.1825239509344101, 0.3416122496128082, 0.5465602278709412, 0.44860532879829407, 0.4980718791484833, 0.058364205062389374]",3.7923895835876467
4,"[0.2656468451023102, 0.13641192018985748, 0.9751400947570801, 0.8341642618179321, 0.8328468799591064, 0.9704508185386658, 0.7010008096694946, 0.1934744417667389]",4.819424790143967
6,"[-0.6207265257835388, -0.36714574694633484, 0.9410485029220581, -0.6871941685676575, 0.6798814535140991, 0.6774016618728638, -0.1530037373304367, 0.1171129047870636]",6.074042794108391
