iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,4.145944380760193,-0.5711713016033172,4.719111919403076,-5545.526584746308,12
2,5.780536723136902,-0.6202892005443573,3.4742660522460938,-84756.05685456794,12
3,5.817419663071632,0.614333426207304,3.5325489044189453,-6985576915.947319,12
4,6.153133475780487,1.4026601523160938,2.885937213897705,-1834745.507561626,12
5,4.454371786117553,0.8051482578118642,2.6414432525634766,-235379.02055230516,12
6,5.977207612991333,1.985946214199066,2.1318702697753906,-1319605.087075493,12
7,6.13031369894743,0.23066885806620122,2.0449399948120117,-3117521.4919170476,12
8,6.00898928642273,0.19126315712928776,2.134626626968384,-898595.7450858839,12
9,5.067680704593658,0.5071206877628963,2.145179271697998,-863946.7551677084,12
10,5.304624676704407,-0.15827066103617357,2.3080174922943115,-2036423.302049456,12
11,5.698285454511643,-0.7334762121240298,2.1975927352905273,-845149.3769614986,12
12,5.727203275263309,-0.04546455132464574,1.7080483436584473,-2873798.8315617796,12
13,6.307181811332702,0.5006576951593161,1.6567938327789307,-996390.4421941721,12
14,5.284627896547318,-0.2679476752877235,1.772087574005127,-1113274.5293206437,12
15,4.893971586227417,-0.8129657626152039,1.7002732753753662,-946699.819868415,12
16,5.874761188030243,0.08913293182849887,1.864790678024292,-1038056.27470887,12
17,4.767598724365234,-0.03574013710021973,1.6854314804077148,-844401.8076976711,12
18,0.8733771324157715,-0.760551905632019,1.642627239227295,-587919.9127558774,12
19,5.789434552192688,1.2343531822164853,1.6651029586791992,-2190195.1331589017,12
20,0.0,-1.1666666666666667,1.6595478057861328,-1652709.2202561914,12
21,4.8538237571716305,-0.1616929411888123,1.754889965057373,-958932.22328135,12
22,4.369597101211548,-0.2940714200337728,1.808131217956543,-1084525.2987588795,12
23,2.872316598892212,-0.5788050770759582,1.9340486526489258,-2509742.8454323313,12
24,3.8678974866867066,-0.001229931910832686,2.155290126800537,-606087.5785049464,12
