iteration,point_values,score
0,"[0.6687394380569458, 0.29172831773757935, 0.5216381549835205, 0.7893443703651428, 0.352524071931839, 0.8620582818984985, 0.8824386596679688, 0.6343941688537598, 0.23511357605457306, 0.09993421286344528, 0.06361763179302216, 0.31737443804740906, 0.3677023649215698, 0.24840128421783447, 0.6539546847343445, 0.046717569231987]",0.0
1,"[0.4570068120956421, 0.8199737071990967, 0.365581214427948, 0.8377655148506165, 0.474293977022171, 0.6828489899635315, -0.18154391646385193, -0.040663328021764755, 0.2932948172092438, 0.6850787401199341, 0.20557661354541779, -0.14592280983924866, 0.5493465065956116, 0.40555334091186523, -0.1734345257282257, 0.40029025077819824]",4.145944380760193
2,"[0.6255425214767456, 0.5623064041137695, -0.06014278903603554, 0.9373792409896851, -0.11466039717197418, -0.36123520135879517, -0.065054751932621, 0.3248310983181, 0.7570139169692993, 0.6944631934165955, 0.4253230690956116, 0.5485735535621643, 0.08769451826810837, 0.5029810667037964, 0.5681793689727783, 0.8892442584037781]",5.780536723136902
3,"[0.6814263463020325, 0.9081943035125732, 0.9067702293395996, 0.7166302800178528, 0.7471675276756287, 0.575677752494812, 0.997097373008728, 0.6486793756484985, -0.0528506264090538, 0.28313738107681274, 0.6290698051452637, 0.4138270914554596, 0.9867657423019409, -0.07153010368347168, 0.3718022406101227, -0.028679972514510155]",5.817419663071632
4,"[0.31399548053741455, 0.49059826135635376, 0.40579527616500854, 0.7163957357406616, 0.9989415407180786, 0.38368532061576843, 0.4554423987865448, 0.9660903811454773, 0.19795504212379456, 0.5875875949859619, 0.6144651770591736, 0.578270673751831, 0.8352371454238892, 0.8383299708366394, 0.16635659337043762, 0.5478090047836304]",6.153133475780487
13,"[0.7654531002044678, -0.002745767356827855, 0.6965535879135132, 0.3123888075351715, -0.9138252139091492, 0.8071660995483398, -0.02152164652943611, -0.24289076030254364, 0.03371437266469002, 0.3526667356491089, 0.29099392890930176, 0.41106030344963074, 0.6091046929359436, 0.19833184778690338, 0.8091439008712769, -0.03189237043261528]",6.307181811332702
