iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,0.0,-1.2083333333333333,3.6997475624084473,-138.6593812042321,12
2,0.0,-1.25,2.886479377746582,-134.05298859180027,12
3,4.093514466285706,-0.20868462125460305,2.8312714099884033,-318.20262248180205,12
4,5.235299825668335,-0.9387250145276388,2.2688076496124268,-266.2155637844449,12
5,4.978381967544555,-0.9184681693712871,2.0240540504455566,-655.5592877141106,12
6,4.247179889678955,-0.9377350091934203,1.8211860656738281,-538.8754874510523,12
7,2.6410595893859865,-0.6965783675511679,1.6111884117126465,-282.49920147355704,12
8,0.0,-1.0,1.685460090637207,-222.2045777782686,12
9,0.0,-0.875,1.77738356590271,-503.6008879181034,12
10,5.125647966563702,-0.7811960027863583,1.9786627292633057,-336.1949292889801,12
11,0.0,-1.0833333333333333,1.8266124725341797,-93.59979118376323,12
12,5.663001158088446,0.7973260439311464,1.4155423641204834,-254.81987976187312,12
