iteration,point_values,score
0,"[0.5243664383888245, 0.9788526296615601, 0.39834079146385193, 0.8713663220405579, 0.816321611404419, 0.9852936863899231, 0.4983516037464142, 0.5000156760215759]",0.0
3,"[0.606316089630127, 0.9358101487159729, 0.2088126689195633, 0.6637515425682068, 0.8859749436378479, 0.9589594006538391, -0.02930133417248726, 0.011063770391047001]",4.093514466285706
4,"[0.10836566239595413, 0.09240651875734329, -0.49233388900756836, 0.05559935420751572, -0.0021286234259605408, -0.09349298477172852, 0.60392165184021, 0.2580200433731079]",5.235299825668335
12,"[0.03905550017952919, 0.5492433905601501, 0.014450850896537304, 0.2655082046985626, 0.6684010028839111, 0.7873628735542297, -0.14634667336940765, 0.1043541356921196]",5.597245925664902
12,"[-0.7738604545593262, -0.971503734588623, -0.5578251481056213, -0.6316388249397278, 0.24634858965873718, -0.7896000146865845, -0.5722857713699341, -0.15142130851745605]",5.663001158088446
