iteration,point_values,score
0,"[0.5243664383888245, 0.9788526296615601, 0.39834079146385193, 0.8713663220405579, 0.816321611404419, 0.9852936863899231, 0.4983516037464142, 0.5000156760215759]",0.0
1,"[-0.019389791507024162, -0.1973282641348564, 0.003285918907361714, 0.39650371683230745, 0.02341620958846277, -0.007605589263739889, 0.5859175816124653, 0.6393571025826582]",0.19932874452279611
12,"[0.3911508931689323, -0.5917365694388029, 0.061399710548786554, 0.5197214562525743, 0.24687843556950925, 0.13324176261135948, 0.42878495756093105, 0.3219430841740644]",0.21713372887509802
