iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,0.19932874452279611,-1.0667226046231002,52.67299222946167,-2819580.8293758444,12
2,0.06964783852135714,-0.849904246394324,85.64712953567505,-134.72264592751947,12
3,0.0171642746689598,-1.017264012524002,91.38969087600708,-25.03792506282217,12
4,0.0,-1.3333333333333333,55.05596089363098,-33.664296864869094,12
5,0.0,-0.8333333333333334,55.64289164543152,-41.17932884015601,12
6,0.0,-1.125,54.98170876502991,-33.794585669270425,12
7,0.0,-1.0,55.74421525001526,-39.78189222329287,12
8,0.06628659374960773,-1.1194761171875327,75.35650038719177,-43.51368091166639,12
9,0.0,-0.9993470972677883,95.48438024520874,-52.75511448678469,12
10,0.1226514522027809,-0.2972310360395514,154.66399788856506,-71.08311274696335,12
11,0.0,-0.6411925498220831,80.20354294776917,-17.490062871654462,12
12,0.21713372887509802,-0.645989548850555,189.8743860721588,-17.35969419028394,12
