iteration,point_values,score
0,"[0.6687394380569458, 0.29172831773757935, 0.5216381549835205, 0.7893443703651428, 0.352524071931839, 0.8620582818984985, 0.8824386596679688, 0.6343941688537598, 0.23511357605457306, 0.09993421286344528, 0.06361763179302216, 0.31737443804740906, 0.3677023649215698, 0.24840128421783447, 0.6539546847343445, 0.046717569231987]",0.0
3,"[0.47608419166520816, 0.08427868106333662, 0.22686009010124494, 0.6220383521326801, 0.8335878910957302, 0.6869172542880315, 0.5836006476677262, 0.040941514219932404, 0.584385673569917, 0.45965079595911573, 0.686287272550014, 0.35380206009304244, 0.7148758633368583, 0.47544817677354223, 0.21280312845237917, 0.6481472311256297]",0.10938512302836975
12,"[0.15045530236628926, -0.10661832315903928, 0.7245931250403549, 0.8258467460250697, -0.3963517495031434, 0.32161504377503, 0.8845975010358754, -0.21622184358485774, -0.022654827265080463, 0.4679635459911973, -0.818246584650954, 1.0, -0.037043666117419626, -0.07352495969018288, -0.17077077645404093, 0.34279913745065566]",0.1155492943666306
12,"[0.6006087167973282, 0.16698940536597817, 0.5373917381615937, 0.8612885955375634, 0.24076752514129593, 0.6368466596870607, 0.7369799458459674, 0.4492106533925609, 0.2057300063961962, 0.10709142989856574, 0.00039680033462663195, 0.251578792993687, 0.26315620973478404, 0.27024143298705056, 0.5961390193111058, 0.061874125179033]",0.12211016100014808
