iteration,point_values,score
0,"[0.8614767789840698, 0.16601133346557617, 0.5045157670974731, 0.5702548623085022, 0.08663521707057953, 0.6007767915725708, 0.8076534867286682, 0.8099789619445801, 0.36914828419685364, 0.37213534116744995, 0.18318113684654236, 0.3528457283973694]",0.0
1,"[0.5090993642807007, 0.35941842198371887, 0.26565879583358765, 0.5168206095695496, 0.04643663018941879, 0.321799635887146, 0.9088372588157654, 0.7173826098442078, 0.48660391569137573, 0.03614216670393944, 0.6186285018920898, 0.8638206720352173]",4.97453225851059
2,"[0.43816155195236206, 0.5160148739814758, 0.8454717397689819, 0.41972047090530396, 0.2895599603652954, 0.9208832383155823, 0.8456724286079407, 0.38021335005760193, 0.3801375925540924, 0.5840228199958801, 0.5562003254890442, 0.8253139853477478]",5.277726098895073
3,"[0.9639070630073547, 0.43262970447540283, 0.44001078605651855, 0.7867211103439331, 0.7014478445053101, 0.6228039264678955, 0.6646770238876343, 0.5981685519218445, 0.9401331543922424, 0.9645479917526245, 0.7447330355644226, -0.06254152953624725]",5.386782491207123
3,"[0.1400846242904663, -0.6023386716842651, 0.7516877055168152, 0.31029805541038513, 0.3323977589607239, 0.8384283185005188, 0.8688235282897949, 0.8863289952278137, 0.07722321152687073, 0.42147788405418396, 0.41734594106674194, 0.06960130482912064]",5.675636627525091
6,"[-0.9361968040466309, 0.5848667621612549, 0.090610072016716, 0.9214684367179871, -0.6157727241516113, 0.8489083647727966, 0.1345704346895218, 0.4400426745414734, 0.22198094427585602, -0.28824692964553833, -0.37651973962783813, 0.7559111714363098]",5.762931519746781
8,"[0.14299128949642181, 0.3165283203125, 0.6086503863334656, 0.09982745349407196, -0.2373213768005371, 0.7201013565063477, 0.6715201139450073, 0.5852837562561035, 0.4278126060962677, 0.4997665286064148, -0.7762615084648132, 0.5517281889915466]",5.773542320728302
10,"[-0.44704556465148926, 0.45360076427459717, -0.08041328936815262, -0.12472209334373474, 0.10713294893503189, 0.1342715620994568, 0.14939765632152557, 0.33484163880348206, 0.9014843702316284, 0.9083854556083679, -0.8152815103530884, 0.6581254601478577]",7.2429133534431465
