iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,4.97453225851059,0.027545635402202635,5.1998982429504395,-78.39518733870086,12
2,5.277726098895073,0.8159638531506062,4.301093578338623,-923747294.4588658,12
3,5.675636627525091,0.5645614536479117,3.0422463417053223,-3679.055564243726,12
4,2.534934949874878,-0.41375542084376016,2.5333845615386963,-2744.9058790931654,12
5,5.138972282409668,0.3488858222961426,2.6939239501953125,-4152.479799941576,12
6,5.762931519746781,0.2907609586914381,2.1063528060913086,-26296.263025039694,12
7,5.487858867645263,0.1909421950578689,2.1964709758758545,-5546.077867927858,12
8,5.773542320728302,-0.47720480660597486,2.130044460296631,-30285.08736173008,12
9,3.676691102981567,-0.48527574141820273,2.4044368267059326,-29754.768259580615,12
10,7.2429133534431465,1.0034439891576767,2.1863627433776855,-2453.875331177686,12
11,4.996639561653137,0.46781491637229927,2.3664515018463135,-136384.1609588796,12
12,4.64032015800476,-1.2321744004885355,1.7059922218322754,-77595.96847033616,12
13,5.30265828371048,-0.3836472739775975,1.9512441158294678,-33500.05214109926,12
14,5.768472284078598,-0.24554605931043624,1.849708080291748,-2923.028656202739,12
15,4.187584853172302,-0.1155532519022624,1.9846997261047363,-26277.08300341021,12
16,5.5925926804542545,1.0425143539905548,1.8554489612579346,-14704.535573434665,12
17,5.702224949002266,-0.09286845301588371,1.8595829010009766,-25187.8781961788,12
18,4.644487595558166,-0.6546260337034862,2.687464952468872,-40840.18247675563,12
19,5.472423273324966,0.01676707019408541,2.849224805831909,-15.78094067644348,12
20,5.946946370601654,-0.1050404707590739,2.427560329437256,-10772.826628307652,12
21,4.799797749519348,-0.3832315027713776,2.1514132022857666,-21968.619510622917,12
22,4.903850877285004,0.4890949328740439,2.4723217487335205,-30638.383456930034,12
23,0.0,-1.125,2.4364469051361084,-9996.081150737742,12
24,5.573859167098999,0.10733354687690737,2.4039595127105713,-4691.46315231077,12
