iteration,point_values,score
0,"[0.35333916544914246, 0.06315036863088608, 0.08943915367126465, 0.4683265686035156, 0.7504064440727234, 0.4898645579814911, 0.9093929529190063, 0.9865627884864807, 0.41048845648765564, 0.15118153393268585, 0.06874118745326996, 0.8232388496398926]",0.0
1,"[-0.040222433131345714, -0.1044955184119629, 0.21132619229923458, 0.11993224098930824, 0.3121194550658718, 0.6720013608884483, 0.7989406814720162, 0.15559418919052753, 0.7685205482488195, 0.45721877123660726, 0.5392800404458947, 0.8383794590179785]",0.03742160223168953
2,"[0.028972991972573497, -0.06572826676327626, 0.24429449666520767, 0.11239114482138496, 0.31766413456310616, 0.6348552666930422, 0.7750834985880856, 0.16619210190860417, 0.7729383777659875, 0.4681623178353244, 0.58370286524116, 0.8099304271796189]",0.04348991474208016
7,"[0.09366435194895978, 0.06888186632486966, 0.35901181788270087, 0.13960354508596504, 0.23129642378918913, 0.502319557565205, 0.766291759986724, 0.23017711124278234, 0.6564797816613848, 0.33795884057419817, 0.7127952534014226, 0.8907366953392272]",0.08138274895404318
9,"[-0.17294433061541417, -0.13853297368302167, 0.3180969667542666, 0.18936929654628154, 0.2994114342475243, 0.5191993640832595, 0.7331908966359582, 0.2738357327290008, 0.9715388219647523, 0.32289125091158727, 0.41722242525759673, 0.9104630409997932]",0.29730422724349653
