iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,0.03742160223168953,-0.9615597421991199,108.67084813117981,-2303905.332915446,12
2,0.04348991474208016,-0.4722146044339562,167.81477570533752,-30856.063195586674,12
3,0.0007897142106442891,-0.3706798139556673,112.10701036453247,-3.6369277702809484,12
4,0.0,-0.6519677704377006,127.2311544418335,-3.845115185982477,12
5,0.01777170696106201,-0.7246629249740305,115.68975758552551,-5.629960149886013,12
6,0.0,-0.5598973356636929,105.69847011566162,-7.544926510851003,12
7,0.08138274895404318,-0.6640257088109743,130.44210481643677,-8.928148865517262,12
8,0.0,-0.39958409284561686,102.44512057304382,-11.48492319616358,12
9,0.29730422724349653,-0.35150281265598476,214.82447624206543,-10.852262267472902,12
10,0.0,-0.5928581282963377,121.4017014503479,-14.169566380963587,12
11,0.009834032940076683,-0.3951119691476252,164.23038911819458,-15.70206736121346,12
12,0.0,-0.5896518403146295,170.94252276420593,-15.85160558785541,12
