iteration,point_values,score
0,"[0.6687394380569458, 0.29172831773757935, 0.5216381549835205, 0.7893443703651428, 0.352524071931839, 0.8620582818984985, 0.8824386596679688, 0.6343941688537598, 0.23511357605457306, 0.09993421286344528, 0.06361763179302216, 0.31737443804740906, 0.3677023649215698, 0.24840128421783447, 0.6539546847343445, 0.046717569231987]",0.0
1,"[0.32633039355278015, 0.9265300035476685, 0.48483553528785706, 0.0067984857596457005, 0.724553644657135, 0.4793962240219116, 0.5732750296592712, 0.7611066699028015, -0.6087943911552429, -0.05191497877240181, 0.04691063612699509, -0.24721485376358032, 0.9440482258796692, 0.47514429688453674, -0.19460870325565338, 0.12225081771612167]",1.275020694732666
2,"[0.24262024462223053, 0.8203414678573608, 0.17293503880500793, 0.927947461605072, 0.2709861993789673, 0.6559284925460815, 0.511677622795105, 0.6504225134849548, 0.15018495917320251, 0.6268768906593323, 0.9431145191192627, -0.22847206890583038, 0.7055771350860596, 0.91728675365448, 0.10499105602502823, 0.5559459328651428]",5.308980464935303
2,"[-0.06516321748495102, 0.05426669865846634, 0.834316611289978, 0.821127712726593, 0.9998745322227478, 0.36727821826934814, 0.1824312061071396, -0.04544795677065849, 0.8656752705574036, -0.17015425860881805, 0.7883257865905762, 0.32396116852760315, 0.4480569362640381, 0.41679608821868896, -0.301035076379776, -0.25082045793533325]",5.473130989074707
5,"[0.7625975012779236, 0.5513138771057129, 0.42848119139671326, 0.7639691233634949, 0.6502655148506165, 0.6675021648406982, 0.36530283093452454, 0.8817169070243835, 0.30317798256874084, 0.6468402743339539, 0.5285082459449768, 0.1462392508983612, 0.7594256401062012, 0.8296623826026917, 0.1135665774345398, 0.9189806580543518]",6.611610853672028
