iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,1.275020694732666,-1.286597243944804,3.7942616939544678,-48062.613357776056,12
2,5.473130989074707,0.8809017340342203,2.676769495010376,-71272.7511727485,12
3,5.412644243240356,-0.1616640170415243,2.8154516220092773,-1813321365.7555616,12
4,4.769440102577209,0.29153341849644976,1.914846420288086,-949927.5092534156,12
5,6.611610853672028,0.21763423780600233,2.3437211513519287,-858619.7396949255,12
6,5.602648973464966,0.18804802894592287,1.9130265712738037,-6185878.354173109,12
7,5.295330768823623,1.6795302192370096,1.8101325035095215,-203539.57154123965,12
8,6.182040402293206,1.6985482312738898,1.8176212310791016,-581432.6986969294,12
9,5.658084034919739,-0.7598593562841415,1.7138292789459229,-106243.72216533918,12
10,5.79196959733963,0.3391680811842283,2.1685843467712402,-146327.26683914618,12
11,5.586850953102112,0.1677234013875326,1.722015380859375,-630127.5640429741,12
12,3.827300834655762,-1.0143915971120199,1.2562735080718994,-2927033.7706131786,12
