iteration,point_values,score
0,"[0.8614767789840698, 0.16601133346557617, 0.5045157670974731, 0.5702548623085022, 0.08663521707057953, 0.6007767915725708, 0.8076534867286682, 0.8099789619445801, 0.36914828419685364, 0.37213534116744995, 0.18318113684654236, 0.3528457283973694]",0.0
1,"[-0.5210719108581543, 0.5948632955551147, 0.6903245449066162, -0.2673727571964264, 0.280276358127594, 0.45911502838134766, 0.47013434767723083, 0.291744202375412, 0.7550343871116638, 0.31899595260620117, 0.654881477355957, 0.7201135754585266]",4.980645847320557
2,"[-0.23306654393672943, 0.7501723766326904, 0.3476408123970032, 0.39646315574645996, 0.39463376998901367, 0.9057990312576294, 0.6083992719650269, 0.928824245929718, -0.283446341753006, 0.125587597489357, 0.19386063516139984, 0.8272256851196289]",5.331564709544182
3,"[0.041912712156772614, -0.29129165410995483, 0.21423956751823425, 0.4308350682258606, 0.571007251739502, 0.780911922454834, 0.6399891376495361, 0.9960599541664124, 0.4859973192214966, 0.1617353856563568, 0.4020383059978485, 0.6795812845230103]",5.5337261199951175
7,"[-0.6901543736457825, 0.9467042684555054, 0.7851036787033081, 0.5239032506942749, -0.7673252820968628, 0.8760294318199158, 0.598906934261322, 0.23543015122413635, 0.5565490126609802, 0.5621808171272278, -0.12101209908723831, 0.761273205280304]",5.970451113581658
