iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,6.328148317337036,0.899498575180769,3.855045795440674,-925.949638660939,12
2,5.794856286048889,-0.23113196492195134,3.1427886486053467,-11082.43435609371,12
3,5.991744956374168,0.2822017836074034,2.6424992084503174,-24417.378785384983,12
4,5.894828903675079,0.4149413774410884,1.9637908935546875,-5491.911821656705,12
5,5.314928030967712,0.1801194012165069,2.0750656127929688,-13215.833918354527,12
6,5.773623526096344,1.0802562495072683,1.6222305297851562,-25064.224030403377,12
7,5.868946552276611,0.3262994696696599,1.5851802825927734,-26302.39112023463,12
8,6.085863356292248,1.1988055540869633,1.6583409309387207,-4431.234484612703,12
9,5.584412281215191,0.9563807143519322,1.6197338104248047,-5617.341715201295,12
10,6.085009780526161,1.187060645967722,1.7723886966705322,-2032.6942282445323,12
11,5.479114007949829,0.5356579919656118,1.9837265014648438,-8834.503556183683,12
12,0.16067171096801758,-1.330862275759379,1.5005648136138916,-15443.772783593316,12
13,6.841160607337951,0.9759733592470488,1.2800066471099854,-6768.71692418983,12
14,5.494219565391541,0.6890341699123383,1.5495362281799316,-14391.14622898057,12
15,6.079432246088982,0.5548626797894638,1.4652245044708252,-55466.916256698336,12
16,6.808015167713165,1.3496481170256933,1.3593895435333252,-5102.8886748863015,12
