iteration,point_values,score
0,"[0.8614767789840698, 0.16601133346557617, 0.5045157670974731, 0.5702548623085022, 0.08663521707057953, 0.6007767915725708, 0.8076534867286682, 0.8099789619445801, 0.36914828419685364, 0.37213534116744995, 0.18318113684654236, 0.3528457283973694]",0.0
1,"[0.2232738584280014, 0.301067054271698, -0.0698288306593895, 0.5951414704322815, 0.2002052366733551, 0.1377619504928589, 0.37576186656951904, 0.28499284386634827, 0.5818698406219482, 0.25221940875053406, -0.18617373704910278, 0.8314525485038757]",5.874897614121437
1,"[0.9695504307746887, 0.606512725353241, -0.0022182902321219444, -0.42228424549102783, 0.3664749264717102, 0.530179500579834, 0.25300249457359314, 0.42882946133613586, 0.9230133891105652, 0.46054404973983765, -0.08963499218225479, -0.29921844601631165]",6.328148317337036
13,"[0.3522951304912567, 0.29593518376350403, 0.7046292424201965, -0.9473220109939575, 0.22486215829849243, 0.9509677290916443, -0.08955006301403046, -0.006857744883745909, 0.5497652292251587, -0.41284987330436707, -0.7032231092453003, 0.5060287117958069]",6.841160607337951
