iteration,point_values,score
0,"[0.8614767789840698, 0.16601133346557617, 0.5045157670974731, 0.5702548623085022, 0.08663521707057953, 0.6007767915725708, 0.8076534867286682, 0.8099789619445801, 0.36914828419685364, 0.37213534116744995, 0.18318113684654236, 0.3528457283973694]",0.0
1,"[-0.42150261998176575, 0.3614344298839569, 0.7755627632141113, 0.9148949384689331, 0.4335409700870514, 0.18780475854873657, 0.49781957268714905, 0.7491671442985535, 0.5927764773368835, 0.8799938559532166, 0.1524471640586853, 0.8440116047859192]",5.718223035335541
1,"[0.201482355594635, -0.11673352122306824, 0.9984461665153503, 0.08766932040452957, 0.430962473154068, -0.09582106024026871, 0.7249096632003784, 0.6779009699821472, -0.25477349758148193, 0.7192798256874084, 0.864508867263794, 0.9180968999862671]",6.592027845978737
