iteration,point_values,score
0,"[0.5243664383888245, 0.9788526296615601, 0.39834079146385193, 0.8713663220405579, 0.816321611404419, 0.9852936863899231, 0.4983516037464142, 0.5000156760215759]",0.0
3,"[0.4256337583065033, 0.5315278768539429, -0.052181851118803024, 0.41583251953125, 0.4956115782260895, 0.6627700924873352, 0.2290957272052765, -0.10655393451452255]",4.03148136138916
3,"[0.026975346729159355, -0.4957975149154663, 0.7665969729423523, -0.3202366828918457, 0.9754663705825806, 0.742587149143219, 0.8706835508346558, 0.36534351110458374]",4.7641874074935915
3,"[0.5797504782676697, -0.505097508430481, 0.3252922296524048, -0.40275633335113525, 0.7519662976264954, 0.32702383399009705, -0.9770429134368896, -0.07978454977273941]",5.007503473758698
5,"[-0.4212729334831238, 0.5808556079864502, 0.7285307049751282, -0.25730177760124207, 0.8866428732872009, 0.3205159306526184, 0.46617674827575684, -0.6199405789375305]",5.008379483222962
5,"[-0.6907302737236023, -0.8246142268180847, 0.6099114418029785, 0.08656538277864456, 0.564433217048645, -0.4319217801094055, 0.006049493793398142, -0.681127667427063]",5.4927649140357975
7,"[0.345057874917984, 0.5296242237091064, -0.31624171137809753, 0.4768434166908264, 0.7605326175689697, 0.12021853029727936, 0.6452848315238953, -0.28213074803352356]",5.639187777042389
