iteration,best_score,avg_score,computation_time,ei_value,batch_size
1,0.0,-1.2916666666666667,3.8065900802612305,-193.67296539062409,12
2,0.0,-1.0833333333333333,2.9084551334381104,-671.0841632892678,12
3,5.007503473758698,0.4002643535534541,2.555974245071411,-358.32182608805124,12
4,0.0,-0.9583333333333334,2.0007011890411377,-211.52613204162427,12
5,5.4927649140357975,9.536643822993796e-05,2.1359877586364746,-455.234467473754,12
6,0.0,-1.0833333333333333,1.6797492504119873,-287.2311075254169,12
7,5.639187777042389,0.46617292538285265,1.7095727920532227,-141.8282142798165,12
8,3.9266104221343996,-0.9227824648221334,1.7073919773101807,-60.72279509784611,12
9,5.582573865354061,-0.36124499849975106,2.761068820953369,-195.1541675365224,12
10,2.481654644012451,-0.49644595781962075,2.065056324005127,-98.8193817017035,12
11,5.309850823879242,0.8664961765209834,2.0797171592712402,-533.302405694718,12
12,5.503349244594574,0.26667894124984737,1.7074565887451172,-355.5952361661468,12
